,Order,Family,Genus,Species,Subspecies,fre1,fre2,fre3,fre4,fre5,fre6,fre7,fre8,fre9,fre10,fone1,fone2,fone3,fone4,fone5,fone6,fone7,fone8,fone9,fone10,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,narr1,narr2,narr3,narr4,narr5,narr6,narr7,narr8,narr9,narr10
Brochymena,Hemiptera,Pentatomidae,Brochymena,,,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronco Beetle,Coleoptera,Coccinellidae,Cryptolaemus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bronze Leafhopper,Hemiptera,Cicadellidae,,,,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,2,2,2,3,1,0,0,0,0,4,4,6,1,4,1,1,1,0,0,1,1,6,1
bronze leafhopper w/ clear b,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Salticid (Metaphidippus),Araneae,Salticidae,Metaphidippus,,,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
brown Anthicid,Coleoptera,Anthicidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
brown Chrysomelid,Coleoptera,Chrysomelidae,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Brown clerid,Coleoptera,Cleridae,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
brown Crab Spider,Araneae,Thomisidae,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown Froghopper,Hemiptera,Cercopidae,,,,0,0,2,0,1,0,6,1,0,1,1,1,2,1,2,3,1,0,0,3,1,1,0,4,3,2,0,6,0,1,1,2,1,17,4,3,0,3,0,1
brown Leafhopper,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Brn/Mottled Leafhopper,Hemiptera,Cicadellidae,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brown Mirid,Hemiptera,Miridae,,,,,,,,,,,,1,,2,,,,2,1,,,,,1,1,,,,2,,,1,,,,,,4,,,,,
Brown Mordellid,Coleoptera,Mordellidae,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown Nabid,Hemiptera,Nabidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
brn/tan striped Cantharid,Coleoptera,Cantharidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Brown Treehopper,Hemiptera,Membracidae,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brn/wh striped Weevil Microtyphius,Coleoptera,Curculionidae,Microtyphius,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
brn/red abd Theridiid,Araneae,Theridiidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Ceratopoginid,Diptera,Ceratopogonidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Chaitophorus populicola,Hemiptera,Aphididae,Chaitophorus,populicola,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalcid,Hymenoptera,Chalcidae,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Clubionid Chiracanthium,Araneae,Clubionidae,Chiracanthium,,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Crm/Brn Mirid: Ceratocapsus,Hemiptera,Miridae,Ceratocapsus,,,,4,1,2,3,,2,2,1,1,2,2,,1,,,,,1,1,,,,,,1,1,,1,,,2,2,,,1,,,,1
Coccinella septum punctata,Coleoptera,Coccinellidae,Coccinella,septum,punctata,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Coenagrionid,Odonata,Coenagrionidae,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Colt beetle (Eumolpinae),Coleoptera,Chrysomelidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Dance fly,Diptera,Empididae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,
Dictynid Dictyna,Araneae,Dictynidae,Dictyna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Dryinid,Hymenoptera,Dryinidae,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Encyrtid,Hymenoptera,Encyrtidae,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
Eulophid,Hymenoptera,Eulophidae,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Eupelmid,Hymenoptera,Eupelmidae,,,,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytomid,Hymenoptera,Eurytomidae,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Euschistus,Hemiptera,Pentatomidae,Euschistus,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fisheye Leafhopper,Hemiptera,Cicadellidae,,,,4,14,6,13,0,0,13,5,7,16,5,21,13,1,4,5,7,2,5,2,19,30,12,4,3,15,13,4,10,2,25,25,9,2,11,8,6,9,24,6
Forficulid,Dermaptera,Forficulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Formica sp. 1,Hymenoptera,Formicidae,Formica,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free-feeding Sawfly,Hymenoptera,Tenthredinidae,Nematus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,1
Gelechiid,Lepidoptera,Gelechiidae,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Green Leafhopper,Hemiptera,Cicadellidae,,,,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0
Gray Leafhopper,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Green Chaitophorus,Hemiptera,Aphididae,Chaitophorus,popullellus,,2,1,1,1,16,2,0,0,8,0,9,1,1,14,1,7,5,1,22,13,2,21,8,4,1,10,12,3,2,2,8,12,1,10,2,3,6,6,1,6
green Chrysopid,Neuroptera,Chrysopidae,,,,,,,,,,,1,1,,,,1,1,1,1,1,,1,,1,,3,1,,,,,1,,,2,1,,,,1,,,1
Green Crab Spider,Araneae,Thomisidae,Misumenops,,,,,,3,,,1,,,,,,,,1,,,,3,,,,,,,1,,,,,2,,,,,,,1,,
Green Dance Fly,Diptera,Empididae,,,,,,,,,,,,,,,1,,,2,,1,,1,,,,,,,,,,,,,,,,,,1,1,,
Green Geometrid,Lepidoptera,Geometridae,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
green Lacewing,Neuroptera,Chrysopidae,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,3,,
Green Leafhopper,Hemiptera,Cicadellidae,,,,9,27,4,1,17,1,30,6,27,8,9,11,19,5,3,5,12,5,3,8,5,7,3,1,4,10,14,7,5,0,18,30,15,0,16,7,4,31,8,0
Green Treehopper,Hemiptera,Membracidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
green mirid,Hemiptera,Miridae,,,,2,5,2,,6,,23,1,1,1,,1,2,,1,,2,3,,,,,,,,,,2,,,,,,,1,,,1,1,
green Thomisid,Araneae,Thomisidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grn/Brn Leafhopper,Hemiptera,Cicadellidae,,,,3,1,,,1,2,4,,,1,1,4,6,,5,3,3,,,,7,4,1,,1,4,2,1,,,3,1,1,,5,2,3,3,,
Green/Red Melyrid,Coleoptera,Melyridae,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
Grey Cixiid,Hemiptera,Cixiidae,,,,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grey Leafhopper,Hemiptera,Cicadellidae,,,,0,2,0,0,0,5,0,0,0,0,1,3,1,0,0,1,1,0,3,0,1,2,0,0,2,3,0,0,1,0,0,1,0,0,1,2,1,0,0,3
Grey Mirid,Hemiptera,Miridae,,,,12,33,1,2,8,0,6,1,0,0,0,9,3,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0
Grey/Black melyrid,Coleoptera,Melyridae,,,,1,,,,2,,,,,1,6,,,2,8,,1,1,,,4,,,1,5,2,3,,,,,,,5,2,,,1,1,1
Grey Mottled Leafhopper,Hemiptera,Cicadellidae,,,,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grn/Brn leafhopper,Hemiptera,Cicadellidae,,,,,1,,2,,,12,1,3,,2,2,6,,2,1,,,1,,2,,,,1,,,,,,,1,,1,,,1,,,
Grey/Bl Melyrid,Coleoptera,Melyridae,,,,,,,,,,,,,,1,,,,3,,,,2,1,,,,1,,,,,,,,,,1,,,,,,3
grey Salticid w/blk spots (Metaphidippus),Araneae,Salticidae,Metaphidippus,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,14,,,,,,,2,2
Halictid,Hymenoptera,Halictidae,,,,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,convergens,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ichneumonid,Hymenoptera,Ichneumonidae,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katydid,Orthoptera,Tettigoniidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Leaf Roller,Lepidoptera,Gelechiidae,Anacampsis,niveopulvella,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Leaf Tier,Lepidoptera,Tortricidae,Gypsonoma,haimbachiana,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,8
Lightning Beetle,Coleoptera,Lampyridae,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little brown Weevil,Coleoptera,Curculionidae,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long, thin Dip Bibionid",Diptera,Bibionidae,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"long, thin Mymarid: Stephanodes",Hymenoptera,Mymaridae,Stephanodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Many spotted LBB,Coleoptera,Coccinellidae,Harmonia,,,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
Metallic Anthomyiid,Diptera,Anthomyiidae,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Metapeira or/red/blk/wh spid.,Araneae,Araneidae,Metapeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,
Metazygia wittfeldae,Araneae,Araneidae,Metazygia,wittfeldae,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Midge,Diptera,Chironomidae,,,,2,0,5,3,7,1,1,5,0,0,4,0,1,0,4,2,2,2,2,0,2,1,0,1,4,2,5,0,5,0,1,0,2,3,2,1,3,7,1,0
Mite Gall,Acari,Eriophyidae,Aceria,parapopuli,,0,0,0,2,0,0,0,0,0,0,7,21,18,546,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mottled Leafhopper,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Multicolored Leafhopper,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Mymarid,Hymenoptera,Mymaridae,,,,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrmecine ant,Hymenoptera,Formicidae,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Noctuid,Lepidoptera,Noctuidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Orange Clubionid,Araneae,Clubionidae,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
or/black Braconid,Hymenoptera,Braconidae,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
or/black Ichneumonid,Hymenoptera,Ichneumonidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
or/wh/green Mirid,Hemiptera,Miridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Otiorhynchinae,Coleoptera,Curculionidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Oxyopidae Oxyopes,Araneae,Oxyopidae,Oxyopes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pemphigus betae,Hemiptera,Aphididae,Pemphigus,betae,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,58,36,5,8,81,0,15,19,0,19,27,17,0,79,35,25,1,3,8
Pemphigus populicaulis (F),Hemiptera,Aphididae,Pemphigus,populicaulis,,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemphigus populiglobuli (N),Hemiptera,Aphididae,Pemphigus,populiglobuli,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2
Pemphigus populitransversus,Hemiptera,Aphididae,Pemphigus,populitransversus,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philodromus,Araneae,Philodromidae,Philodromus,,,3,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Phyllocolpa,Hymenoptera,Tenthredinidae,Phyllocolpa,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,4,1,0,0,0,1,0,0,2,0,0,2,1,0,3,1,2,10,0,0
Phorid,Diptera,Phoridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Podisus,Hemiptera,Pentatomidae,Podisus,,,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0
Pteromalid,Hymenoptera,Pteromalidae,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punkie,Diptera,Ceratapogonidae,,,,1,3,0,1,7,1,2,7,1,0,6,5,3,9,5,0,5,1,2,0,3,3,0,4,3,1,4,9,2,0,2,8,2,4,2,6,1,8,1,0
Red Mite,Acari,Erythraeidae,,,,0,0,0,1,0,0,3,4,1,0,2,0,2,0,0,3,1,2,1,6,11,0,0,0,2,1,2,1,5,12,1,0,3,3,3,0,0,7,0,1
Red Reduviid nymph,Hemiptera,Reduviidae,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
red/bl Camponotus,Hymenoptera,Formicidae,Camponotus,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red/Bl Melyrid,Coleoptera,Melyridae,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Red/Green Melyrid,Coleoptera,Melyridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Salticid Bredana,Araneae,Salticidae,Bredana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Salticid Corythalia,Araneae,Salticidae,Corythalia,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Salticid Paradamoetus,Araneae,Salticidae,Paradamoetus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Salticid Phidippus,Araneae,Salticidae,Phidippus,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Salticid Salticus wh/yellow,Araneae,Salticidae,Salticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Sciarid,Diptera,Sciaridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Scymnus,Coleoptera,Coccinellidae,Scymnus,,,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,1,1,0,5
Serpentine Leaf Mine,Lepidoptera,Gracillaridae,Phyllocnistis,,,8,13,6,2,29,6,9,9,4,1,5,1,7,10,16,1,1,3,1,1,3,1,0,5,4,2,2,3,1,0,1,2,1,0,4,1,0,6,1,1
Snakefly,Neuroptera,Raphidiidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spot Blotch,Lepidoptera,,,,,2,1,8,3,1,0,0,2,3,5,2,1,2,1,8,2,4,1,1,6,2,3,0,3,3,1,3,0,0,1,7,2,1,4,2,1,0,1,1,1
Stem Borer,Coleoptera,Buprestidae,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stem Galler,Diptera,Agromyzidae,Hexomyza,schineri,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,1,0,0,1,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0
Tachynid,Diptera,Tachynidae,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
T-Dip Muscid,Diptera,Muscidae,,,,1,1,0,0,2,0,1,1,4,0,2,4,0,0,3,6,0,8,2,0,1,0,0,0,5,0,3,3,3,0,3,0,1,1,1,1,1,0,1,0
Tiny T-Dip Agromyzid,Diptera,Agromyzidae,,,,0,3,0,0,0,1,0,0,0,0,5,1,2,0,1,1,2,0,0,0,1,1,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Thecabius populicondupifolius,Hemiptera,Aphididae,Thecabius,populicondupifolius,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thecabius populimonilis,Hemiptera,Aphididae,Thecabius,populimonilis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,25,0,0,0,0,8,0,23
Thyanta,Hemiptera,Pentatomidae,Thyanta,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Tree Cricket,Orthoptera,Gryllidae,Oecanthus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turquiose Leafhopper,Hemiptera,Cicadellidae,,,,0,0,0,10,0,1,0,0,10,0,4,13,8,1,1,4,5,0,11,3,7,12,3,0,2,7,3,1,5,2,16,2,1,0,6,2,3,7,9,3
